Unnamed: 0,Env,Contribution,mode
ERR4281055,root:4M,0.59179395,C
ERR4281020,root:4M,0.10935253,C
ERR4281023,root:4M,0.036577526,C
ERR4281026,root:4M,0.106855534,C
ERR4281071,root:4M,0.59179395,C
ERR4281074,root:4M,0.10506131,C
ERR4281076,root:4M,0.10506131,C
ERR4281037,root:4M,0.10506131,C
ERR4281039,root:4M,0.59179395,C
ERR4281042,root:4M,0.03694964,C
ERR4281087,root:4M,0.106855534,C
ERR4281048,root:4M,0.59179395,C
ERR4281094,root:4M,0.10506131,C
ERR4281097,root:4M,0.036577526,C
ERR4281100,root:4M,0.055254098,C
ERR4281101,root:4M,0.10506131,C
ERR4281115,root:4M,0.036577526,C
ERR4281120,root:4M,0.106855534,C
ERR4281128,root:4M,0.106855534,C
ERR4281137,root:4M,0.10506131,C
ERR4281142,root:4M,0.036577526,C
ERR4281149,root:4M,0.10506131,C
ERR4281156,root:4M,0.036577534,C
ERR4281160,root:4M,0.59179395,C
ERR4281167,root:4M,0.10506131,C
ERR4281170,root:4M,0.10506131,C
ERR4281174,root:4M,0.036577526,C
ERR4281178,root:4M,0.036643777,C
ERR4281183,root:4M,0.036577526,C
ERR4281186,root:4M,0.10506131,C
ERR4281193,root:4M,0.036577526,C
ERR4281196,root:4M,0.036577526,C
ERR4281198,root:4M,0.036801036,C
ERR4281203,root:4M,0.036577526,C
ERR4281209,root:4M,0.036577526,C
ERR4281214,root:4M,0.036577526,C
ERR4281221,root:4M,0.10506131,C
ERR4281227,root:4M,0.036577526,C
ERR4281231,root:4M,0.057476096,C
ERR4281237,root:4M,0.039980758,C
ERR4281244,root:4M,0.036577526,C
ERR4281252,root:4M,0.036577526,C
ERR4281257,root:4M,0.036582064,C
ERR4281263,root:4M,0.03713517,C
ERR4281268,root:4M,0.10506131,C
ERR4281272,root:4M,0.11272437,C
ERR4281279,root:4M,0.10506131,C
ERR4281283,root:4M,0.10506131,C
ERR4281290,root:4M,0.10506131,C
ERR4281295,root:4M,0.036577526,C
ERR4281299,root:4M,0.106855534,C
ERR4281305,root:4M,0.04029838,C
ERR4281311,root:4M,0.10512104,C
ERR4281319,root:4M,0.07239481,C
ERR4281325,root:4M,0.036602058,C
ERR4281334,root:4M,0.106855534,C
ERR4281335,root:4M,0.106855534,C
ERR4281340,root:4M,0.09320819,C
ERR4281349,root:4M,0.036577526,C
ERR4281354,root:4M,0.036577526,C
ERR4281361,root:4M,0.03657796,C
ERR4281367,root:4M,0.048124187,C
ERR4281374,root:4M,0.10506131,C
ERR4281387,root:4M,0.10506131,C
ERR4281394,root:4M,0.106855534,C
ERR4281402,root:4M,0.10506131,C
ERR4281409,root:4M,0.10682685,C
ERR4281416,root:4M,0.036577526,C
ERR4281423,root:4M,0.036577526,C
ERR4281429,root:4M,0.10696666,C
ERR4281435,root:4M,0.10506131,C
ERR4281439,root:4M,0.10506132,C
ERR4281444,root:4M,0.10683711,C
ERR4281450,root:4M,0.036577526,C
ERR4281456,root:4M,0.106855534,C
ERR4281462,root:4M,0.036577526,C
ERR4281468,root:4M,0.036577526,C
ERR4281474,root:4M,0.036577526,C
ERR4281487,root:4M,0.106854,C
ERR4281495,root:4M,0.036577526,C
ERR4281500,root:4M,0.036577526,C
ERR4281502,root:4M,0.10506131,C
ERR4281507,root:4M,0.036612794,C
ERR4281513,root:4M,0.036577526,C
ERR4281519,root:4M,0.036577526,C
ERR4281531,root:4M,0.106855534,C
ERR4281539,root:4M,0.10462421,C
ERR4281543,root:4M,0.036577526,C
ERR4281549,root:4M,0.036577526,C
ERR4281555,root:4M,0.106855534,C
ERR4281561,root:4M,0.043276437,C
ERR4281570,root:4M,0.10506131,C
ERR4281576,root:4M,0.10506131,C
ERR4281580,root:4M,0.036577526,C
ERR4281585,root:4M,0.036577526,C
ERR4281586,root:4M,0.036577526,C
ERR4281593,root:4M,0.10506131,C
ERR4281600,root:4M,0.036577526,C
ERR4281605,root:4M,0.10506454,C
ERR4281641,root:4M,0.59179395,C
